BeginDate,EndDate,TimeWindow,Correlation,Corr. Stddev,#EQs
1977.8446399999998,1978.8446,1.0,1.519,0.7716,127
1977.92156,1978.92152,1.0,1.5494,0.6748,120
1977.99848,1978.99844,1.0,1.5428,0.6274,117
1978.0754,1979.07536,1.0,1.5537,0.6573,123
1978.15232,1979.15228,1.0,1.5704,0.7157,134
1978.22924,1979.2292,1.0,1.5537,0.764,139
1978.3061599999999,1979.30612,1.0,1.5633,0.7823,145
1978.3830799999998,1979.38304,1.0,1.5221,0.8015,136
1978.4599999999998,1979.45996,1.0,1.4957,0.7766,145
1978.53692,1979.53688,1.0,1.5039,0.7752,155
1978.61384,1979.6138,1.0,1.5557,0.8083,167
1978.69076,1979.69072,1.0,1.5279,0.7914,163
1978.76768,1979.76764,1.0,1.4913,0.8707,138
1978.8446,1979.84456,1.0,1.3583,0.886,260
1978.9215199999999,1979.92148,1.0,1.3594,0.8751,274
1978.9984399999998,1979.9984,1.0,1.3701,0.8738,289
1979.0753599999998,1980.07532,1.0,1.3734,0.8632,304
1979.1522799999998,1980.15224,1.0,1.3643,0.8559,302
1979.2292,1980.22916,1.0,1.3584,0.8542,297
1979.30612,1980.30608,1.0,1.351,0.8522,297
1979.38304,1980.383,1.0,1.3447,0.8425,302
1979.45996,1980.45992,1.0,1.7156,1.9983,653
1979.5368799999999,1980.53684,1.0,1.7091,1.9932,699
1979.6137999999999,1980.61376,1.0,1.6551,1.9742,744
1979.6907199999998,1980.69068,1.0,1.6389,1.9683,768
1979.7676399999998,1980.7676,1.0,1.636,1.9673,786
1979.84456,1980.84452,1.0,1.6552,1.9905,677
1979.92148,1980.92144,1.0,1.6596,1.9882,671
1979.9984,1980.99836,1.0,1.649,1.9828,670
1980.07532,1981.07528,1.0,1.646,1.9827,651
1980.15224,1981.1522,1.0,1.6416,1.9812,652
1980.2291599999999,1981.22912,1.0,1.6405,1.9802,651
1980.3060799999998,1981.30604,1.0,1.6422,1.9787,658
1980.3829999999998,1981.38296,1.0,1.6486,1.9793,671
1980.45992,1981.45988,1.0,1.522,1.8897,307
1980.53684,1981.5368,1.0,1.5395,1.8773,263
1980.61376,1981.61372,1.0,1.7503,1.8275,209
1980.69068,1981.69064,1.0,1.793,1.8891,187
1980.7676,1981.76756,1.0,1.8145,1.9011,215
1980.8445199999999,1981.84448,1.0,1.8231,1.8917,203
1980.9214399999998,1981.9214,1.0,1.8236,1.8947,202
1980.9983599999998,1981.99832,1.0,1.8424,1.8923,192
1981.0752799999998,1982.07524,1.0,1.8351,1.8926,189
1981.1522,1982.15216,1.0,1.8144,1.8912,183
1981.22912,1982.22908,1.0,1.8037,1.851,186
1981.30604,1982.306,1.0,1.8606,1.8717,174
1981.38296,1982.38292,1.0,1.8528,1.8753,160
1981.4598799999999,1982.45984,1.0,1.8603,1.8724,170
1981.5367999999999,1982.53676,1.0,1.7795,1.8635,162
1981.6137199999998,1982.61368,1.0,1.7312,1.8673,170
1981.6906399999998,1982.6906,1.0,1.7096,1.8653,186
1981.76756,1982.76752,1.0,1.5037,1.6164,169
1981.84448,1982.84444,1.0,1.4561,1.6089,172
1981.9214,1982.92136,1.0,1.3694,1.5469,162
1981.99832,1982.99828,1.0,1.3546,1.527,178
1982.07524,1983.0752,1.0,1.6356,1.6789,219
1982.1521599999999,1983.15212,1.0,1.7362,1.7263,227
1982.2290799999998,1983.22904,1.0,1.7633,1.78,218
1982.3059999999998,1983.30596,1.0,1.7645,1.7817,225
1982.3829199999998,1983.38288,1.0,1.8846,1.146,381
1982.45984,1983.4598,1.0,1.9107,1.0753,401
1982.53676,1983.53672,1.0,1.9032,1.0539,419
1982.61368,1983.61364,1.0,1.9085,1.0127,440
1982.6906,1983.69056,1.0,1.899,0.9772,436
1982.7675199999999,1983.76748,1.0,1.9046,0.9391,415
1982.8444399999998,1983.8444,1.0,1.9006,0.9155,415
1982.9213599999998,1983.92132,1.0,1.8954,0.9164,422
1982.9982799999998,1983.99824,1.0,1.9012,0.8908,414
1983.0752,1984.07516,1.0,1.8914,0.8068,378
1983.15212,1984.15208,1.0,1.8859,0.7848,366
1983.22904,1984.229,1.0,1.8847,0.7815,371
1983.30596,1984.30592,1.0,1.8872,0.7813,372
1983.38288,1984.38284,1.0,1.6992,1.1059,237
1983.4597999999999,1984.45976,1.0,1.5538,1.2079,209
1983.5367199999998,1984.53668,1.0,1.5652,1.2136,194
1983.6136399999998,1984.6136,1.0,1.4957,1.2193,167
1983.69056,1984.69052,1.0,1.4885,1.1608,157
1983.76748,1984.76744,1.0,1.5056,1.1701,153
1983.8444,1984.84436,1.0,1.5781,1.2525,147
1983.92132,1984.92128,1.0,1.3412,1.0664,227
1983.99824,1984.9982,1.0,1.3185,1.0354,225
1984.0751599999999,1985.07512,1.0,1.326,1.0453,231
1984.1520799999998,1985.15204,1.0,1.3292,1.0443,235
1984.2289999999998,1985.22896,1.0,1.327,1.0394,230
1984.3059199999998,1985.30588,1.0,1.307,0.9917,227
1984.38284,1985.3828,1.0,1.2686,0.9122,220
1984.45976,1985.45972,1.0,1.2527,0.8986,227
1984.53668,1985.53664,1.0,1.2458,0.9013,224
1984.6136,1985.61356,1.0,1.2409,0.8958,240
1984.6905199999999,1985.69048,1.0,1.2202,0.8795,237
1984.7674399999999,1985.7674,1.0,1.2106,0.8625,235
1984.8443599999998,1985.84432,1.0,1.2082,0.8659,232
1984.9212799999998,1985.92124,1.0,1.2942,0.976,146
1984.9982,1985.99816,1.0,1.2949,0.9671,138
1985.07512,1986.07508,1.0,1.2979,1.0494,135
1985.15204,1986.152,1.0,1.2746,1.0196,133
1985.22896,1986.22892,1.0,1.2538,0.9851,131
1985.30588,1986.30584,1.0,1.2616,1.0157,131
1985.3827999999999,1986.38276,1.0,1.3789,1.1718,115
1985.4597199999998,1986.45968,1.0,1.4098,1.2397,114
1985.5366399999998,1986.5366,1.0,1.7269,1.0224,168
1985.61356,1986.61352,1.0,1.3325,0.9237,361
1985.69048,1986.69044,1.0,1.3605,0.9346,385
1985.7674,1986.76736,1.0,1.3624,0.9305,397
1985.84432,1986.84428,1.0,1.3658,0.9314,408
1985.92124,1986.9212,1.0,1.3574,0.9285,407
1985.9981599999999,1986.99812,1.0,1.3651,0.9241,415
1986.0750799999998,1987.07504,1.0,1.3584,0.9217,414
1986.1519999999998,1987.15196,1.0,1.3673,0.9274,426
1986.2289199999998,1987.22888,1.0,1.3835,0.9285,431
1986.30584,1987.3058,1.0,1.3925,0.9242,428
1986.38276,1987.38272,1.0,1.3809,0.9093,431
